행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 정면충돌,사고유형 - 소분류_ 추돌,사고유형 - 소분류_ 측면충돌,사고유형 - 소분류_ 후진중충돌,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_농기계,가해운전자 차종_사륜오토바이(ATV),가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
내곡동,24,1,16,26,3,0,0,0,1,6,13,45,2,1,2,22,12,35,0,1,1,0,8,14,0,45,0,1,1,0,0,0,2,0,0,55,2,0,4,0,0,7,0,3,11,15,14,14,11,2,17171,0,0.208083396,4.157142857
노량진제1동,18,3,14,33,0,3,2,0,0,10,20,26,4,0,3,34,4,30,0,0,0,1,13,18,3,32,0,0,0,1,0,0,1,0,0,51,5,1,4,4,0,2,0,7,12,14,21,9,4,1,32846,57,0.189825245,12.36764706
녹번동,13,2,8,21,2,2,0,0,0,12,3,27,1,0,1,22,2,22,0,0,0,0,9,13,0,24,0,0,0,0,0,0,0,0,0,34,1,1,6,0,0,4,1,5,5,9,9,14,3,0,36407,159,0.211909798,9.413043478
논현동,180,7,88,154,10,19,14,0,1,50,49,281,10,8,7,153,66,219,0,1,0,0,59,91,3,284,0,1,1,0,6,1,6,0,0,344,19,0,40,4,0,19,7,78,89,92,69,70,28,6,42363,1336,0.150036589,0.571753986
능동,7,1,5,7,0,0,0,0,0,3,3,14,0,0,0,8,4,7,0,1,0,0,3,5,0,11,0,1,0,0,0,0,0,0,0,13,1,1,0,3,0,2,0,5,5,1,4,3,2,0,11502,249,0.151278039,25.9
신당동,70,9,18,71,5,0,3,0,2,27,32,95,6,7,1,88,11,74,0,0,0,0,35,49,4,85,0,0,0,0,3,0,1,0,0,99,4,17,25,6,0,18,3,16,30,35,40,32,17,0,72831,313,0.2179841,0.179190751
답십리동,54,5,34,39,1,4,7,0,1,20,25,65,4,6,1,85,3,45,0,0,2,0,42,42,1,45,0,0,1,0,1,0,2,0,0,67,8,2,27,9,0,17,1,13,29,13,31,30,15,1,55942,342,0.187265382,1.804511278
당산제1동,38,4,10,42,2,3,2,0,1,19,9,49,10,2,1,45,1,50,0,0,0,0,20,24,1,51,0,0,0,0,0,2,3,0,0,57,4,3,10,7,0,10,2,7,16,14,22,22,11,2,21564,304,0.169217214,2.28125
당산제2동,31,3,26,51,3,0,4,0,1,4,22,77,3,1,2,20,2,91,0,1,0,1,7,12,1,90,0,1,2,0,0,4,1,0,0,72,5,0,4,19,1,8,3,14,25,18,18,21,14,1,37094,170,0.137138082,3.385964912
대림동,52,4,18,74,7,1,4,0,2,30,16,94,4,2,2,83,0,72,0,0,0,0,19,60,4,72,0,0,0,0,1,0,3,0,0,110,10,0,11,9,1,10,2,15,35,24,34,31,11,3,58550,1130,0.206233988,1.258064516
대방동,33,4,21,50,1,6,2,0,0,14,26,59,1,1,0,54,1,54,0,0,0,0,21,32,1,54,0,0,1,0,0,0,1,0,0,67,12,4,17,5,0,3,5,15,8,23,25,21,11,1,36044,222,0.164576629,3.302752294
대조동,27,1,11,20,3,1,0,0,1,12,3,40,2,2,1,29,4,29,0,0,0,0,18,11,0,33,0,0,0,0,1,1,0,0,0,37,1,1,16,3,0,2,2,9,15,6,11,11,8,0,27841,193,0.195215689,8.983870968
대치동,166,11,80,99,4,21,14,0,1,44,65,200,6,7,2,145,24,188,0,3,2,3,38,98,9,207,0,3,0,0,2,1,5,0,0,278,9,0,34,12,0,19,8,31,71,95,67,50,33,5,80921,842,0.13139976,0.941666667
도곡동,81,4,44,60,1,15,2,0,2,28,39,100,2,2,0,90,10,89,0,1,0,1,41,47,2,97,0,1,0,1,2,1,3,0,0,137,22,1,12,2,0,10,0,26,30,34,38,38,20,4,53115,467,0.1614045,6.889473684
신도림동,27,2,12,31,0,5,2,0,1,7,13,42,2,0,0,32,11,28,0,1,0,2,9,21,2,37,0,1,0,0,0,1,0,0,0,49,4,0,6,4,0,8,1,8,18,13,9,17,6,0,55908,385,0.161390141,9.375
도봉동,11,0,17,30,2,3,2,0,2,5,7,33,1,5,2,37,0,23,0,0,0,0,13,24,0,23,0,0,0,0,0,0,2,0,0,40,3,0,7,3,0,5,1,4,7,6,13,20,7,2,46304,526,0.29092519,1.483333333
독산동,155,6,39,57,1,4,7,0,0,33,46,156,8,3,1,108,5,145,0,0,1,3,29,75,4,146,0,0,0,0,2,1,3,0,0,161,19,6,29,10,1,26,3,29,40,42,73,47,21,3,110143,986,0.175871367,6.395348837
돈암동,20,1,5,16,0,1,1,0,1,4,10,17,4,0,4,9,8,25,0,0,1,0,7,2,0,32,0,0,0,0,0,0,0,0,0,36,1,0,3,1,0,1,1,2,7,8,9,12,3,0,37868,17,0.186357875,21.4047619
동선동,32,2,5,15,1,3,4,0,0,9,3,27,2,7,0,25,9,19,0,2,0,0,6,17,2,28,0,2,0,0,0,0,0,0,0,34,4,0,10,2,0,5,2,8,9,10,12,13,1,0,16011,373,0.142464556,1.163636364
둔촌동,11,4,23,32,1,3,0,0,1,19,5,42,1,0,0,32,3,35,0,1,0,0,12,20,0,38,0,1,0,0,0,0,0,0,0,49,3,0,3,2,0,14,0,8,5,14,18,14,12,0,24415,418,0.190579562,5.957746479
등촌동,45,3,26,50,7,3,4,0,1,17,20,77,3,3,3,62,10,59,0,0,0,0,17,41,4,69,0,0,0,0,1,0,7,0,0,86,9,1,10,6,0,11,4,13,27,17,29,24,10,7,74095,358,0.19522235,2.969465649
