행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 길가장자리구역통행중,사고유형 - 소분류_ 보도통행중,사고유형 - 소분류_ 차도통행중,사고유형 - 소분류_ 횡단중,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
노량진제1동,6,0,1,0,2,0,1,0,0,2,0,6,0,0,0,1,3,5,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,3,3,0,0,1,0,1,0,1,1,4,1,1,0,1,32846,57,0.189825245,3.777777778
녹번동,6,0,4,2,11,0,3,3,0,4,0,13,0,0,0,7,2,14,0,0,0,0,2,3,2,16,0,0,0,0,0,0,0,18,0,1,3,1,0,0,1,5,2,3,7,3,2,0,36407,159,0.211909798,2.130434783
논현동,75,7,8,3,12,0,7,8,0,2,0,88,0,0,0,23,38,44,0,0,0,0,7,9,7,82,0,0,0,0,4,0,9,69,4,0,7,0,1,11,3,13,19,18,18,14,9,11,42363,1336,0.150036589,2.104761905
능동,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11502,249,0.151278039,6
신당동,35,3,4,5,14,0,3,11,0,4,0,42,1,0,0,13,8,40,0,0,0,0,9,3,1,48,0,0,0,0,1,0,3,33,2,4,4,4,0,10,3,8,12,9,10,8,8,3,72831,313,0.2179841,1.098360656
답십리동,31,2,6,4,9,0,2,4,0,2,0,44,0,0,0,21,2,29,0,0,0,0,9,5,7,31,0,0,0,0,0,0,3,26,3,1,6,3,0,10,2,1,9,5,14,15,3,3,55942,342,0.187265382,0.865384615
당산제1동,9,2,6,3,5,0,4,9,0,0,0,12,0,0,0,9,2,14,0,0,0,0,1,3,5,16,0,0,0,0,0,0,0,12,3,0,3,4,0,3,0,5,4,3,4,7,2,0,21564,304,0.169217214,3.92
당산제2동,10,1,3,3,7,0,2,5,0,2,0,15,0,0,0,11,0,13,0,0,0,0,5,3,3,13,0,0,0,0,1,0,0,15,2,0,1,4,0,1,0,2,7,5,3,3,3,1,37094,170,0.137138082,10.70833333
대림동,25,9,7,10,19,0,4,12,0,5,0,48,1,0,0,24,1,45,0,0,0,0,8,10,6,46,0,0,0,0,1,0,1,41,6,2,2,6,0,11,0,2,10,17,13,17,9,2,58550,1130,0.206233988,0.2
대방동,10,0,5,2,7,0,3,3,0,1,0,17,0,0,0,8,1,15,0,0,0,0,2,4,2,16,0,0,0,0,1,0,0,10,4,1,2,4,0,2,2,3,3,5,5,4,2,0,36044,222,0.164576629,8.666666667
